These results were downloaded and refreshed on October   20, 2015 at 12:18 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 20 octobre 2015 à 12h18 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
11003	Egmont	Egmont	preliminary	préliminaires	Morrissey		Bobby	Liberal	Libéral	10521	49.3	0	21346
11003	Egmont	Egmont	preliminary	préliminaires	Shea		Gail	Conservative	Conservateur	6185	29	0	21346
11004	Malpeque	Malpeque	preliminary	préliminaires	Easter		Wayne	Liberal	Libéral	13950	62.1	0	22472
11004	Malpeque	Malpeque	preliminary	préliminaires	Hayward		Leah-Jane	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2509	11.2	0	22472
11004	Malpeque	Malpeque	preliminary	préliminaires	Lund		Lynne	Green Party	Parti Vert	2066	9.2	0	22472
11004	Malpeque	Malpeque	preliminary	préliminaires	Stewart		Stephen	Conservative	Conservateur	3947	17.6	0	22472
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	Coady		Maria Goretti	Green Party	Parti Vert	1279	3	0	43235
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	Cuzner		Rodger	Liberal	Libéral	32163	74.4	0	43235
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	Rodgers		Adam Daniel	Conservative	Conservateur	6246	14.4	0	43235
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	Smith		Michelle	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3547	8.2	0	43235
12002	Central Nova	Nova-Centre	preliminary	préliminaires	DeLorey		Fred	Conservative	Conservateur	11536	25.9	0	44504
12002	Central Nova	Nova-Centre	preliminary	préliminaires	Fraser		Sean	Liberal	Libéral	25922	58.2	0	44504
12002	Central Nova	Nova-Centre	preliminary	préliminaires	Hachey		David	Green Party	Parti Vert	1921	4.3	0	44504
12002	Central Nova	Nova-Centre	preliminary	préliminaires	Landry		Ross	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4529	10.2	0	44504
12002	Central Nova	Nova-Centre	preliminary	préliminaires	MacKenzie		Alexander J.	Independent	Indépendant	596	1.3	0	44504
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Armstrong		Scott	Conservative	Conservateur	12257	26.4	0	46493
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Blanch		Jason Matthew	Green Party	Parti Vert	1650	3.5	0	46493
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Casey		Bill	Liberal	Libéral	29527	63.5	0	46493
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Jackson		Kenneth	Independent	Indépendant	179	.4	0	46493
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Plett		Richard Trueman	Independent	Indépendant	70	.2	0	46493
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Robinson		Wendy	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2810	6	0	46493
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Chisholm		Robert	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	12758	24.4	0	52219
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Cole		Jason	Conservative	Conservateur	7331	14	0	52219
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Fisher		Darren	Liberal	Libéral	30355	58.1	0	52219
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Nheiley		Brynn	Green Party	Parti Vert	1775	3.4	0	52219
12005	Halifax	Halifax	preliminary	préliminaires	Bezanson		Allan	Marxist-Leninist	Marxiste-Léniniste	128	.2	0	52307
12005	Halifax	Halifax	preliminary	préliminaires	Carvery		Irvine	Conservative	Conservateur	4540	8.7	0	52307
12005	Halifax	Halifax	preliminary	préliminaires	Fillmore		Andy	Liberal	Libéral	26746	51.1	0	52307
12005	Halifax	Halifax	preliminary	préliminaires	Leslie		Megan	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	19129	36.6	0	52307
12005	Halifax	Halifax	preliminary	préliminaires	Trappenberg		Thomas	Green Party	Parti Vert	1764	3.4	0	52307
12006	Halifax West	Halifax-Ouest	preliminary	préliminaires	Hussey		Joanne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5857	11.7	0	49910
12006	Halifax West	Halifax-Ouest	preliminary	préliminaires	McGinnis		Michael	Conservative	Conservateur	7823	15.7	0	49910
12006	Halifax West	Halifax-Ouest	preliminary	préliminaires	Regan		Geoff	Liberal	Libéral	34263	68.6	0	49910
12006	Halifax West	Halifax-Ouest	preliminary	préliminaires	Zurawski		Richard Henryk	Green Party	Parti Vert	1967	3.9	0	49910
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Brison		Scott	Liberal	Libéral	33051	70.8	0	46710
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Brown-Hodges		Megan	Rhinoceros	Rhinocéros	183	.4	0	46710
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Cooper		Will	Green Party	Parti Vert	1570	3.4	0	46710
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Curry		Hugh	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3001	6.4	0	46710
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Morse		David	Conservative	Conservateur	8672	18.6	0	46710
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Twohig		Edd	Independent	Indépendant	133	.3	0	46710
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Williams		Clifford James	Independent	Indépendant	100	.2	0	46710
