These results were downloaded and refreshed on October   20, 2015 at 12:18 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 20 octobre 2015 à 12h18 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Mulligan		Sean J.	Christian Heritage Party	Parti de l'Héritage Chrétien	291	.5	0	55349
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Turmel		Nycole	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	17357	31.4	0	55349
24031	Joliette	Joliette	preliminary	préliminaires	Bourgeois		Michel	Liberal	Libéral	15950	28.2	0	56598
24031	Joliette	Joliette	preliminary	préliminaires	Eid		Soheil	Conservative	Conservateur	5662	10	0	56598
24031	Joliette	Joliette	preliminary	préliminaires	Landreville		Danielle	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	14599	25.8	0	56598
24031	Joliette	Joliette	preliminary	préliminaires	Morais		Robert D.	Forces et Démocratie - Allier les forces de nos régions	Forces et Démocratie - Allier les forces de nos régions	213	.4	0	56598
24031	Joliette	Joliette	preliminary	préliminaires	Morin		Mathieu	Green Party	Parti Vert	1378	2.4	0	56598
24031	Joliette	Joliette	preliminary	préliminaires	Ste-Marie		Gabriel	Bloc Québécois	Bloc Québécois	18796	33.2	0	56598
24032	Jonquière	Jonquière	preliminary	préliminaires	Budilean		Carmen	Green Party	Parti Vert	656	1.4	0	48077
24032	Jonquière	Jonquière	preliminary	préliminaires	Caron		Jean-François	Bloc Québécois	Bloc Québécois	11202	23.3	0	48077
24032	Jonquière	Jonquière	preliminary	préliminaires	Couture		Marielle	Rhinoceros	Rhinocéros	385	.8	0	48077
24032	Jonquière	Jonquière	preliminary	préliminaires	Larouche		Ursula	Conservative	Conservateur	8125	16.9	0	48077
24032	Jonquière	Jonquière	preliminary	préliminaires	Pettersen		Marc	Liberal	Libéral	13670	28.4	0	48077
24032	Jonquière	Jonquière	preliminary	préliminaires	Trudel		Karine	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	14039	29.2	0	48077
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Beaulieu		Mario	Bloc Québécois	Bloc Québécois	18535	33.6	0	55093
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Benoit		Ben 97	Rhinoceros	Rhinocéros	360	.7	0	55093
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Cox		David J.	Green Party	Parti Vert	1124	2	0	55093
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Larose		Jean-François	Forces et Démocratie - Allier les forces de nos régions	Forces et Démocratie - Allier les forces de nos régions	134	.2	0	55093
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Morissette		Guy	Conservative	Conservateur	4398	8	0	55093
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Péclet		Ève	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	14698	26.7	0	55093
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Royer		Geneviève	Marxist-Leninist	Marxiste-Léniniste	104	.2	0	55093
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Simard		Marie-Chantale	Liberal	Libéral	15740	28.6	0	55093
24034	La Prairie	La Prairie	preliminary	préliminaires	Chicoine		Pierre	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	13169	22.9	0	57572
24034	La Prairie	La Prairie	preliminary	préliminaires	Chouinard		Normand	Marxist-Leninist	Marxiste-Léniniste	204	.4	0	57572
24034	La Prairie	La Prairie	preliminary	préliminaires	Perras		Yves	Conservative	Conservateur	6859	11.9	0	57572
24034	La Prairie	La Prairie	preliminary	préliminaires	Picard		Christian	Bloc Québécois	Bloc Québécois	15107	26.2	0	57572
24034	La Prairie	La Prairie	preliminary	préliminaires	Poissant		Jean-Claude	Liberal	Libéral	20998	36.5	0	57572
24034	La Prairie	La Prairie	preliminary	préliminaires	Tomas		Joanne	Green Party	Parti Vert	1235	2.1	0	57572
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Dallaire		Gisèle	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	15735	28.5	0	55197
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Gaudreault		Sabin	Bloc Québécois	Bloc Québécois	10151	18.4	0	55197
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Lebel		Denis	Conservative	Conservateur	18393	33.3	0	55197
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Requilé		Laurence	Green Party	Parti Vert	806	1.5	0	55197
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Simard		Sabin	Liberal	Libéral	10112	18.3	0	55197
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Bernier		Gabriel	Bloc Québécois	Bloc Québécois	1681	2.7	0	62182
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Dean		Bradford	Green Party	Parti Vert	1860	3	0	62182
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Girard		Eric	Conservative	Conservateur	10730	17.3	0	62182
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Scarpaleggia		Francis	Liberal	Libéral	39527	63.6	0	62182
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Young		Ryan	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8384	13.5	0	62182
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Banville		Lorraine	Green Party	Parti Vert	1717	3.2	0	53873
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Lametti		David	Liberal	Libéral	23703	44	0	53873
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	LeBlanc		Hélène	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	15571	28.9	0	53873
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Paquette		Gilbert	Bloc Québécois	Bloc Québécois	9169	17	0	53873
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Zamir		Mohammad	Conservative	Conservateur	3713	6.9	0	53873
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Charron		Sylvain	Conservative	Conservateur	6204	9.8	0	63168
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Graham		David	Liberal	Libéral	20282	32.1	0	63168
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Hedjazi		Niloufar	Green Party	Parti Vert	1251	2	0	63168
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Landry		Simon-Pierre	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	16624	26.3	0	63168
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Régimbald		Johanne	Bloc Québécois	Bloc Québécois	18807	29.8	0	63168
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Beaulieu		Stéphane	Libertarian	Libertarien	541	1.1	0	48013
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Bernatchez		Julien	Independent	Indépendant	143	.3	0	48013
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Duceppe		Gilles	Bloc Québécois	Bloc Québécois	13565	28.3	0	48013
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Fontaine		Pierre	Communist	Communiste	90	.2	0	48013
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Gaudreau		Daniel	Conservative	Conservateur	2048	4.3	0	48013
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Giraud		Cyrille	Green Party	Parti Vert	1673	3.5	0	48013
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Lachapelle		Serge	Marxist-Leninist	Marxiste-Léniniste	95	.2	0	48013
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Laverdière		Hélène	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	18129	37.8	0	48013
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Poirier		Christine	Liberal	Libéral	11729	24.4	0	48013
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Breton		Yvon	Marxist-Leninist	Marxiste-Léniniste	175	.3	0	54203
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Dick		Roland	Conservative	Conservateur	9811	18.1	0	54203
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	El-Khoury		Fayçal	Liberal	Libéral	25857	47.7	0	54203
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Pilon		François	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	10710	19.8	0	54203
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	R'Guiba-Kalogerakis		Faiza	Green Party	Parti Vert	919	1.7	0	54203
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Redhead		Nancy	Bloc Québécois	Bloc Québécois	6731	12.4	0	54203
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Barré		Thomas	Conservative	Conservateur	5013	9.6	0	52398
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Chénier		Pierre	Marxist-Leninist	Marxiste-Léniniste	171	.3	0	52398
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Cloutier		Philippe	Bloc Québécois	Bloc Québécois	14644	27.9	0	52398
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Groguhé		Sadia	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	12436	23.7	0	52398
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Leclerc		Mario	Green Party	Parti Vert	1510	2.9	0	52398
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Liberman		Matthew Iakov	Rhinoceros	Rhinocéros	325	.6	0	52398
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Romanado		Sherry	Liberal	Libéral	18299	34.9	0	52398
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Belanger		François	ATN	ADN	136	.2	0	62421
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Biello		Tina	Green Party	Parti Vert	1121	1.8	0	62421
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Bilodeau		Hélène	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	9197	14.7	0	62421
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Boucher		Claude	Liberal	Libéral	13513	21.6	0	62421
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Gagné		Steve	Bloc Québécois	Bloc Québécois	7146	11.4	0	62421
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Gourde		Jacques	Conservative	Conservateur	31308	50.2	0	62421
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Lwalalika		Affine	Forces et Démocratie - Allier les forces de nos régions	Forces et Démocratie - Allier les forces de nos régions	163	.3	0	58209
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Nantel		Pierre	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	18171	31.2	0	58209
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	O'Grady		Michael	Liberal	Libéral	17468	30	0	58209
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Poitras		Casandra	Green Party	Parti Vert	1447	2.5	0	58209
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Sedlak		John	Conservative	Conservateur	5087	8.7	0	58209
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Trudel		Denis	Bloc Québécois	Bloc Québécois	15873	27.3	0	58209
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Asselin		Jean-Pierre	Conservative	Conservateur	16675	27.2	0	61348
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Beaudoin-Julien		Andrée-Anne	Green Party	Parti Vert	1581	2.6	0	61348
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Blanchette		Denis	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	12783	20.8	0	61348
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Jetchick		Stefan	Christian Heritage Party	Parti de l'Héritage Chrétien	130	.2	0	61348
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Lightbound		Joël	Liberal	Libéral	21353	34.8	0	61348
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Pageau		Caroline	Bloc Québécois	Bloc Québécois	8826	14.4	0	61348
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Caron		G. Daniel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	10301	16	0	64518
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Deltell		Gérard	Conservative	Conservateur	32561	50.5	0	64518
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Rousseau		Youri	Liberal	Libéral	13612	21.1	0	64518
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Savard		Michel	Green Party	Parti Vert	1437	2.2	0	64518
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Sirard		Ronald	Bloc Québécois	Bloc Québécois	6607	10.2	0	64518
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Boudreau		Yvon	Conservative	Conservateur	4302	10.2	0	41992
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Genest-Jourdain		Jonathan	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	7359	17.5	0	41992
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Gill		Marilène	Bloc Québécois	Bloc Québécois	17293	41.2	0	41992
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Grills		Nathan	Green Party	Parti Vert	687	1.6	0	41992
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Tremblay		Mario	Liberal	Libéral	12351	29.4	0	41992
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Berthiaume		David	Liberal	Libéral	13308	28.1	0	47332
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Berthold		Luc	Conservative	Conservateur	16754	35.4	0	47332
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Delisle		Jean-François	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	10386	21.9	0	47332
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Gervais		Justin	Green Party	Parti Vert	1046	2.2	0	47332
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Provost		Virginie	Bloc Québécois	Bloc Québécois	5838	12.3	0	47332
24048	Mirabel	Mirabel	preliminary	préliminaires	Ferguson		Gordon	Conservative	Conservateur	6120	10.3	0	59482
24048	Mirabel	Mirabel	preliminary	préliminaires	Freeman		Mylène	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	17873	30	0	59482
24048	Mirabel	Mirabel	preliminary	préliminaires	Gifford		Jocelyn	Green Party	Parti Vert	1311	2.2	0	59482
24048	Mirabel	Mirabel	preliminary	préliminaires	Marcil		Simon	Bloc Québécois	Bloc Québécois	18661	31.4	0	59482
24048	Mirabel	Mirabel	preliminary	préliminaires	Trudel		Karl	Liberal	Libéral	15517	26.1	0	59482
24049	Montarville	Montarville	preliminary	préliminaires	Adam		Olivier	Green Party	Parti Vert	1388	2.4	0	57916
24049	Montarville	Montarville	preliminary	préliminaires	Duranleau		Stéphane	Conservative	Conservateur	6284	10.9	0	57916
24049	Montarville	Montarville	preliminary	préliminaires	Fournier		Catherine	Bloc Québécois	Bloc Québécois	16460	28.4	0	57916
24049	Montarville	Montarville	preliminary	préliminaires	Leclair		Claude	Libertarian	Libertarien	640	1.1	0	57916
24049	Montarville	Montarville	preliminary	préliminaires	Picard		Michel	Liberal	Libéral	18848	32.5	0	57916
24049	Montarville	Montarville	preliminary	préliminaires	Sellah		Djaouida	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	14296	24.7	0	57916
24050	Montcalm	Montcalm	preliminary	préliminaires	Ang		Yumi Yow Mei	Green Party	Parti Vert	955	1.8	0	52087
24050	Montcalm	Montcalm	preliminary	préliminaires	DesRoches		Gisèle	Conservative	Conservateur	5009	9.6	0	52087
24050	Montcalm	Montcalm	preliminary	préliminaires	Leclerc		Martin	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	12216	23.5	0	52087
24050	Montcalm	Montcalm	preliminary	préliminaires	Perreault		Manon	Forces et Démocratie - Allier les forces de nos régions	Forces et Démocratie - Allier les forces de nos régions	606	1.2	0	52087
24050	Montcalm	Montcalm	preliminary	préliminaires	Thouin		Louis-Charles	Liberal	Libéral	14247	27.4	0	52087
24050	Montcalm	Montcalm	preliminary	préliminaires	Thériault		Luc	Bloc Québécois	Bloc Québécois	19054	36.6	0	52087
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	préliminaires	Breton		Chantal	Green Party	Parti Vert	821	1.7	0	49205
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	préliminaires	Gagnon		Louis	Bloc Québécois	Bloc Québécois	7919	16.1	0	49205
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	préliminaires	Gagné		Bien Gras	Rhinoceros	Rhinocéros	288	.6	0	49205
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	préliminaires	Généreux		Bernard	Conservative	Conservateur	14264	29	0	49205
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	préliminaires	Lapointe		François	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	11914	24.2	0	49205
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	préliminaires	Normand		Marie-Josée	Liberal	Libéral	13999	28.5	0	49205
24052	Mount Royal	Mont-Royal	preliminary	préliminaires	Bossé Bélanger		Jade	Bloc Québécois	Bloc Québécois	908	1.9	0	48201
24052	Mount Royal	Mont-Royal	preliminary	préliminaires	Housefather		Anthony	Liberal	Libéral	24317	50.4	0	48201
24052	Mount Royal	Mont-Royal	preliminary	préliminaires	Johnston		Diane	Marxist-Leninist	Marxiste-Léniniste	124	.3	0	48201
24052	Mount Royal	Mont-Royal	preliminary	préliminaires	Landry		Timothy	Green Party	Parti Vert	750	1.6	0	48201
24052	Mount Royal	Mont-Royal	preliminary	préliminaires	Libman		Robert	Conservative	Conservateur	18213	37.8	0	48201
24052	Mount Royal	Mont-Royal	preliminary	préliminaires	Rimbao		Mario Jacinto	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3889	8.1	0	48201
24053	Notre-Dame-de-Grâce--Westmount	Notre-Dame-de-Grâce--Westmount	preliminary	préliminaires	Cahn		Lisa Julie	Independent	Indépendant	151	.3	0	51323
24053	Notre-Dame-de-Grâce--Westmount	Notre-Dame-de-Grâce--Westmount	preliminary	préliminaires	Garneau		Marc	Liberal	Libéral	29601	57.7	0	51323
24053	Notre-Dame-de-Grâce--Westmount	Notre-Dame-de-Grâce--Westmount	preliminary	préliminaires	Hoffman		Rachel	Marxist-Leninist	Marxiste-Léniniste	181	.4	0	51323
24053	Notre-Dame-de-Grâce--Westmount	Notre-Dame-de-Grâce--Westmount	preliminary	préliminaires	Hughes		James	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	11197	21.8	0	51323
24053	Notre-Dame-de-Grâce--Westmount	Notre-Dame-de-Grâce--Westmount	preliminary	préliminaires	Quesnel		Simon	Bloc Québécois	Bloc Québécois	1366	2.7	0	51323
24053	Notre-Dame-de-Grâce--Westmount	Notre-Dame-de-Grâce--Westmount	preliminary	préliminaires	Sagala		Richard	Conservative	Conservateur	7249	14.1	0	51323
24053	Notre-Dame-de-Grâce--Westmount	Notre-Dame-de-Grâce--Westmount	preliminary	préliminaires	Wheeler		Melissa Kate	Green Party	Parti Vert	1578	3.1	0	51323
24054	Outremont	Outremont	preliminary	préliminaires	Bendayan		Rachel	Liberal	Libéral	14377	33.7	0	42680
24054	Outremont	Outremont	preliminary	préliminaires	Diallo		Amara	Green Party	Parti Vert	1546	3.6	0	42680
24054	Outremont	Outremont	preliminary	préliminaires	Galland Barou		Roger	Bloc Québécois	Bloc Québécois	3518	8.2	0	42680
24054	Outremont	Outremont	preliminary	préliminaires	Husny		Rodolphe	Conservative	Conservateur	4120	9.7	0	42680
24054	Outremont	Outremont	preliminary	préliminaires	Mulcair		Tom	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	18753	43.9	0	42680
24054	Outremont	Outremont	preliminary	préliminaires	Pouliot		Francis	Libertarian	Libertarien	208	.5	0	42680
24054	Outremont	Outremont	preliminary	préliminaires	Welsh		Adrien	Communist	Communiste	158	.4	0	42680
24055	Papineau	Papineau	preliminary	préliminaires	Bernardo		Beverly	No Affiliation	Aucune appartenance	106	.2	0	50779
24055	Papineau	Papineau	preliminary	préliminaires	Claveau		Maxime	Bloc Québécois	Bloc Québécois	6192	12.2	0	50779
24055	Papineau	Papineau	preliminary	préliminaires	Gaudet		Tommy	Rhinoceros	Rhinocéros	324	.6	0	50779
24055	Papineau	Papineau	preliminary	préliminaires	Lagacé Dowson		Anne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	13240	26.1	0	50779
24055	Papineau	Papineau	preliminary	préliminaires	Lloyd		Chris	Independent	Indépendant	512	1	0	50779
24055	Papineau	Papineau	preliminary	préliminaires	Macrisopoulos		Peter	Marxist-Leninist	Marxiste-Léniniste	144	.3	0	50779
24055	Papineau	Papineau	preliminary	préliminaires	Polifroni		Danny	Green Party	Parti Vert	1432	2.8	0	50779
24055	Papineau	Papineau	preliminary	préliminaires	Trudeau		Justin	Liberal	Libéral	26294	51.8	0	50779
24055	Papineau	Papineau	preliminary	préliminaires	Vadnais		Yvon	Conservative	Conservateur	2376	4.7	0	50779
24055	Papineau	Papineau	preliminary	préliminaires	Waldron		Kim	Independent	Indépendant	159	.3	0	50779
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	preliminary	préliminaires	Assouline		Valérie	Conservative	Conservateur	11695	20	0	58410
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	preliminary	préliminaires	Baylis		Frank	Liberal	Libéral	34222	58.6	0	58410
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	preliminary	préliminaires	Blanchette-Lamothe		Lysane	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	9584	16.4	0	58410
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	preliminary	préliminaires	Laplante		Natalie	Bloc Québécois	Bloc Québécois	2044	3.5	0	58410
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	preliminary	préliminaires	Weizfeld		Abraham	Green Party	Parti Vert	865	1.5	0	58410
24057	Pontiac	Pontiac	preliminary	préliminaires	Amos		William	Liberal	Libéral	34154	54.5	0	62625
24057	Pontiac	Pontiac	preliminary	préliminaires	Griffiths		Colin	Green Party	Parti Vert	1089	1.7	0	62625
24057	Pontiac	Pontiac	preliminary	préliminaires	Lang		Louis	Marxist-Leninist	Marxiste-Léniniste	108	.2	0	62625
24057	Pontiac	Pontiac	preliminary	préliminaires	Lepage		Nicolas	Bloc Québécois	Bloc Québécois	4327	6.9	0	62625
24057	Pontiac	Pontiac	preliminary	préliminaires	Médieu		Pascal	Forces et Démocratie - Allier les forces de nos régions	Forces et Démocratie - Allier les forces de nos régions	131	.2	0	62625
24057	Pontiac	Pontiac	preliminary	préliminaires	Ravignat		Mathieu	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	14095	22.5	0	62625
24057	Pontiac	Pontiac	preliminary	préliminaires	Woodman		Benjamin	Conservative	Conservateur	8721	13.9	0	62625
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	preliminary	préliminaires	Gauvin		David	Liberal	Libéral	13332	21.5	0	61975
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	preliminary	préliminaires	Godin		Joël	Conservative	Conservateur	27238	43.9	0	61975
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	preliminary	préliminaires	Harvey		Raymond	Bloc Québécois	Bloc Québécois	6655	10.7	0	61975
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	preliminary	préliminaires	Michaud		Élaine	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	13650	22	0	61975
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	preliminary	préliminaires	Morin		Johanne	Green Party	Parti Vert	1100	1.8	0	61975
24059	Québec	Québec	preliminary	préliminaires	Asselin		Pierre-Thomas	Conservative	Conservateur	11961	22.2	0	53947
24059	Québec	Québec	preliminary	préliminaires	Duclos		Jean-Yves	Liberal	Libéral	15534	28.8	0	53947
24059	Québec	Québec	preliminary	préliminaires	Fournier		Normand	Marxist-Leninist	Marxiste-Léniniste	154	.3	0	53947
24059	Québec	Québec	preliminary	préliminaires	Mordret		Charles	Bloc Québécois	Bloc Québécois	10152	18.8	0	53947
24059	Québec	Québec	preliminary	préliminaires	Papillon		Annick	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	14459	26.8	0	53947
24059	Québec	Québec	preliminary	préliminaires	Provost		Danielle	Forces et Démocratie - Allier les forces de nos régions	Forces et Démocratie - Allier les forces de nos régions	125	.2	0	53947
24059	Québec	Québec	preliminary	préliminaires	Riboty		Philippe	Green Party	Parti Vert	1562	2.9	0	53947
24060	Repentigny	Repentigny	preliminary	préliminaires	Bellemare		Réjean	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	15175	23.3	0	65218
24060	Repentigny	Repentigny	preliminary	préliminaires	Cloutier		Johnathan	Forces et Démocratie - Allier les forces de nos régions	Forces et Démocratie - Allier les forces de nos régions	1333	2	0	65218
24060	Repentigny	Repentigny	preliminary	préliminaires	Dudas		Adriana	Liberal	Libéral	17788	27.3	0	65218
24060	Repentigny	Repentigny	preliminary	préliminaires	Gilbert		Yoland	Green Party	Parti Vert	1242	1.9	0	65218
24060	Repentigny	Repentigny	preliminary	préliminaires	Lefebvre		Jonathan	Conservative	Conservateur	7053	10.8	0	65218
