riding_number,FEDNUM,riding_utf8
204,35101,Spadina – Fort York
205,35102,Stormont – Dundas – South Glengarry
206,35103,Sudbury
207,35104,Thornhill
208,35105,Thunder Bay – Rainy River
209,35106,Thunder Bay – Superior North
210,35107,Timmins – James Bay
211,35108,Toronto Centre
212,35109,Toronto – Danforth
213,35090,Toronto – St. Paul's
214,35110,University – Rosedale
215,35111,Vaughan – Woodbridge
216,35112,Waterloo
217,35113,Wellington – Halton Hills
218,35114,Whitby
219,35115,Willowdale
220,35116,Windsor – Tecumseh
221,35117,Windsor West
222,35118,York Centre
223,35119,York – Simcoe
224,35120,York South – Weston
225,24001,Abitibi – Baie-James – Nunavik – Eeyou
226,24002,Abitibi – Témiscamingue
227,24003,Ahuntsic – Cartierville
228,24004,Alfred-Pellan
229,24005,Argenteuil – La Petite-Nation
230,24006,Avignon – La Mitis – Matane – Matapédia*
231,24007,Beauce
232,24020,Beauport – Côte-de-Beaupré – Île d'Orléans – Charlevoix
233,24008,Beauport – Limoilou
234,24009,Bécancour – Nicolet – Saurel
235,24010,Bellechasse – Les Etchemins – Lévis
236,24011,Beloeil – Chambly
237,24012,Berthier – Maskinongé
238,24015,Bourassa
239,24016,Brome – Missisquoi
240,24017,Brossard – Saint-Lambert
241,24019,Charlesbourg – Haute-Saint-Charles
242,24021,Châteauguay – Lacolle
243,24022,Chicoutimi – Le Fjord
244,24023,Compton – Stanstead
245,24024,Dorval – Lachine – LaSalle
246,24025,Drummond
247,24026,Gaspésie – Les Îles-de-la-Madeleine
248,24027,Gatineau
249,24028,Hochelaga
250,24029,Honoré-Mercier
251,24030,Hull – Aylmer
252,24031,Joliette
253,24032,Jonquière
254,24033,La Pointe-de-l'Île
255,24034,La Prairie
256,24035,Lac-Saint-Jean
257,24036,Lac-Saint-Louis
258,24037,LaSalle – Émard – Verdun
259,24038,Laurentides – Labelle
260,24039,Laurier – Sainte-Marie
261,24040,Laval-Les Îles
262,24042,Lévis – Lotbinière
263,24041,Longueuil – Charles-LeMoyne
264,24043,Longueuil – Saint-Hubert
265,24044,Louis-Hébert
266,24045,Louis-Saint-Laurent
267,24046,Manicouagan
268,24065,Marc-Aurèle-Fortin
269,24047,Mégantic – L'Érable
270,24048,Mirabel
271,24049,Montarville
272,24050,Montcalm
273,24051,Montmagny – L'Islet – Kamouraska – Rivière-du-Loup
274,24052,Mont-Royal
275,24053,Notre-Dame-de-Grâce – Westmount
276,24054,Outremont
277,24055,Papineau
278,24014,Pierre-Boucher – Les Patriotes – Verchères
279,24056,Pierrefonds – Dollard
280,24057,Pontiac
281,24058,Portneuf – Jacques Cartier
282,24059,Québec
283,24060,Repentigny
284,24061,Richmond – Arthabaska
285,24018,Rimouski-Neigette – Témiscouata – Les Basques
286,24062,Rivière-des-Mille-Îles
287,24063,Rivière-du-Nord
288,24064,Rosemont – La Petite-Patrie
289,24066,Saint-Hyacinthe – Bagot
290,24067,Saint-Jean
291,24068,Saint-Laurent
292,24069,Saint-Léonard – Saint-Michel
293,24070,Saint-Maurice – Champlain
294,24071,Salaberry – Suroît
295,24072,Shefford
296,24073,Sherbrooke
297,24075,Terrebonne
298,24013,Thérèse-De Blainville
299,24076,Trois-Rivières
300,24074,Vaudreuil – Soulanges
301,24077,Ville-Marie – Le Sud-Ouest – L'Île-des-Soeurs
302,24078,Vimy
303,13001,Acadie – Bathurst
304,13002,Beauséjour
305,13003,Fredericton
306,13004,Fundy Royal
307,13005,Madawaska – Restigouche
308,13006,Miramichi – Grand Lake
309,13007,Moncton – Riverview – Dieppe
310,13008,New Brunswick Southwest
311,13009,Saint John – Rothesay
312,13010,Tobique – Mactaquac
313,12001,Cape Breton – Canso
314,12002,Central Nova
315,12003,Cumberland – Colchester
316,12004,Dartmouth – Cole Harbour
317,12005,Halifax
318,12006,Halifax West
319,12007,Kings – Hants
320,12008,Sackville – Preston – Chezzetcook
321,12009,South Shore – St. Margaret's
322,12010,Sydney – Victoria
323,12011,West Nova
324,11001,Cardigan
325,11002,Charlottetown
326,11003,Egmont
327,11004,Malpeque
329,10002,Bonavista – Burin – Trinity
330,10003,Coast of Bays – Central – Notre Dame
331,10004,Labrador
332,10005,Long Range Mountains
333,10006,St. John's East
334,10007,St. John's South – Mount Pearl
335,61001,Northwest Territories
336,62001,Nunavut
337,60001,Yukon
72,48031,St. Albert – Edmonton
73,48032,Sherwood Park – Fort Saskatchewan
93,46004,Dauphin – Swan River – Neepawa
328,10001,Avalon
