FEDNUM,riding_name,con,lib,ndp,grn,blc,oth,elected,check_sum
24064,Rosemont--La Petite-Patrie,4.2999999999999998,20.699999999999999,49.200000000000003,3.1000000000000001,21.0,1.7000000000000002,ndp,100.0
24065,Marc-Aurèle-Fortin,11.800000000000001,41.600000000000001,23.300000000000001,1.8999999999999999,21.399999999999999,,lib,99.999999999999986
24066,Saint-Hyacinthe--Bagot,16.800000000000001,27.5,28.5,2.2999999999999998,24.399999999999999,0.5,ndp,99.999999999999986
24067,Saint-Jean,10.800000000000001,33.200000000000003,29.100000000000001,2.1000000000000001,24.800000000000001,,lib,100.0
24068,Saint-Laurent,19.5,61.600000000000001,11.5,2.3999999999999999,4.7000000000000002,0.29999999999999999,lib,100.0
24069,Saint-Léonard--Saint-Michel,11.1,64.700000000000003,14.800000000000001,1.8,7.2000000000000002,0.29999999999999999,lib,99.899999999999991
24070,Saint-Maurice--Champlain,16.399999999999999,41.399999999999999,20.800000000000001,1.8999999999999999,19.199999999999999,0.29999999999999999,lib,100.0
24071,Salaberry--Suroît,10.0,29.199999999999999,30.5,1.3999999999999999,28.199999999999999,0.59999999999999998,ndp,99.900000000000006
24072,Shefford,12.800000000000001,39.0,23.699999999999999,2.3999999999999999,22.199999999999999,,lib,100.09999999999999
24073,Sherbrooke,9.4000000000000004,29.800000000000001,37.299999999999997,2.0,20.5,1.0,ndp,100.0
24074,Vaudreuil--Soulanges,13.800000000000001,46.5,22.399999999999999,2.2000000000000002,15.1,,lib,99.999999999999986
24075,Terrebonne,11.300000000000001,28.0,25.600000000000001,1.8,33.0,0.29999999999999999,blc,100.0
24076,Trois-Rivières,18.600000000000001,30.300000000000001,31.699999999999999,1.8999999999999999,17.0,0.59999999999999998,ndp,100.09999999999999
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,11.9,50.799999999999997,23.399999999999999,5.0,8.5,0.5,lib,100.09999999999999
24078,Vimy,13.4,46.200000000000003,20.899999999999999,2.3999999999999999,16.699999999999999,0.5,lib,100.10000000000001
48023,Fort McMurray--Cold Lake,60.600000000000001,28.399999999999999,7.7000000000000002,1.6000000000000001,,1.7999999999999998,con,100.09999999999999
35025,Elgin--Middlesex--London,49.200000000000003,31.0,15.4,3.1000000000000001,,1.2,con,99.900000000000006
35019,Don Valley East,29.100000000000001,57.700000000000003,10.6,2.6000000000000001,,,lib,100.0
59007,Cloverdale--Langley City,34.799999999999997,45.5,15.6,4.2000000000000002,,,lib,100.09999999999999
35071,Northumberland--Peterborough South,39.600000000000001,42.5,14.800000000000001,3.1000000000000001,,,lib,100.0
62001,Nunavut,24.800000000000001,47.200000000000003,26.5,1.5,,,lib,100.0
35020,Don Valley North,37.799999999999997,51.399999999999999,8.5,2.2999999999999998,,,lib,100.0
61001,Northwest Territories,18.0,48.299999999999997,30.800000000000001,2.7999999999999998,,,lib,99.899999999999991
59013,Kamloops--Thompson--Cariboo,35.200000000000003,30.5,30.800000000000001,3.6000000000000001,,,con,100.10000000000001
46007,Portage--Lisgar,60.799999999999997,25.800000000000001,6.2000000000000002,4.0,,3.2000000000000002,con,100.0
35021,Don Valley West,37.600000000000001,53.600000000000001,6.0,1.7,,1.2000000000000002,lib,100.10000000000001
48033,Sturgeon River--Parkland,70.200000000000003,15.6,10.0,3.0,,1.2,con,100.0
60001,Yukon,24.0,53.600000000000001,19.5,2.8999999999999999,,,lib,100.0
48030,Red Deer--Lacombe,70.400000000000006,15.4,11.4,2.8999999999999999,,,con,100.10000000000001
35089,St. Catharines,37.600000000000001,43.200000000000003,16.5,2.6000000000000001,,0.10000000000000001,lib,100.0
35107,Timmins--James Bay,21.0,34.100000000000001,42.700000000000003,2.2000000000000002,,,ndp,100.0
48027,Medicine Hat--Cardston--Warner,68.700000000000003,18.0,9.5999999999999996,2.6000000000000001,,1.0,con,99.900000000000006
35090,Toronto--St. Paul's,26.899999999999999,55.200000000000003,14.699999999999999,3.2000000000000002,,,lib,100.0
35091,Sarnia--Lambton,38.799999999999997,27.300000000000001,31.100000000000001,2.7999999999999998,,,con,100.0
35092,Sault Ste. Marie,31.100000000000001,44.799999999999997,21.800000000000001,2.1000000000000001,,0.20000000000000001,lib,100.0
59002,Burnaby North--Seymour,28.100000000000001,36.200000000000003,29.399999999999999,5.2000000000000002,,1.2000000000000002,lib,100.09999999999999
59003,Burnaby South,27.100000000000001,33.899999999999999,35.100000000000001,2.7999999999999998,,1.1000000000000001,ndp,100.0
59004,Cariboo--Prince George,36.5,31.600000000000001,25.899999999999999,3.5,,2.5,con,100.0
59005,Central Okanagan--Similkameen--Nicola,39.5,37.299999999999997,19.300000000000001,3.8999999999999999,,,con,100.0
59006,Chilliwack--Hope,42.399999999999999,33.700000000000003,18.199999999999999,4.7000000000000002,,1.0,con,100.0
35093,Scarborough--Agincourt,38.0,51.899999999999999,7.7999999999999998,1.3999999999999999,,0.80000000000000004,lib,99.899999999999991
59008,Coquitlam--Port Coquitlam,31.899999999999999,35.100000000000001,27.300000000000001,3.8999999999999999,,1.8,lib,100.0
59009,Courtenay--Alberni,28.199999999999999,21.800000000000001,38.100000000000001,11.699999999999999,,0.20000000000000001,ndp,100.00000000000001
59010,Cowichan--Malahat--Langford,23.100000000000001,23.800000000000001,35.600000000000001,17.0,,0.40000000000000002,ndp,99.900000000000006
59011,Delta,32.700000000000003,49.299999999999997,14.9,3.2000000000000002,,,lib,100.10000000000001
48031,St. Albert--Edmonton,45.200000000000003,22.600000000000001,11.199999999999999,1.3999999999999999,,19.699999999999999,con,100.09999999999999
